X,Y,MarkerID,Name,Alternate_Name,Type,Facilities_List,Recreation_Activity_List,Address,SUBURB,Link,Disability_Accessible,Playground,Playground_Accessible,Playground_Shaded,Wifi,BBQ,Picnic_Tables,Drinking_Fountains,Toilets_Daylight,Toilets_24hrs,Toilets_Restricted,Showers,Baby_Change,Bicycle_Walk_Paths,Bike_Racks,Exercise_Equipment,Sports_Field_Lighting,Soccer,AFL,Basketball,Tennis,Cricket,Cycling,Swimming,Skateboarding,Watercraft,Rugby,Gaelic,Softball,CENTROID_X,CENTROID_Y,OBJECTID,LAISKEY,Area_m,Park_Class,Ward,Notes
130.882223969259201,-12.363254913588399,PK21,Koolpinyah Park, ,Park,"Accessible,Playground",,19 Koolpinyah Cres Tiwi,Tiwi,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.882237799193,-12.3632343125534,274,550     06994,4340,Neighbourhood,Richardson, 
130.87755347758366,-12.363017889508125,PK22,Tiwi Oval,Tiwi Park,Oval,"Accessible,Playground,Toilets - Restricted Access","AFL,Cricket",41 Tiwi Gdns Tiwi,Tiwi,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,130.877851691219,-12.3629972368293,275,550     07006,55400,District,Richardson, 
130.883516248841886,-12.361214176040754,PK23,Dorisvale Park, ,Park,"Accessible,Playground",,33 Dorisvale Cres Tiwi,Tiwi,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.883597707827,-12.3613020273092,276,550     06893,10800,Neighbourhood,Richardson, 
130.87872955562824,-12.365468689872021,PK24,Kapalga Park, ,Park,"Accessible,Playground",,24 Wangalara St Tiwi,Tiwi,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.878729341824,-12.3654687639343,277,550     07355,4700,Neighbourhood,Richardson, 
130.887510257378665,-12.369357894288488,PK25,Wanguri Oval,Wanguri Park,Oval,"Accessible,Playground,Showers,Toilets - Restricted Access",Cricket,56 Lyons St Wanguri,Wanguri,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,130.887465810555,-12.3693482104438,278,550     06392,50200,District,Richardson, 
130.876241651270817,-12.370239067863945,PK26,Nakara Oval,Nakara Park,Oval,"Accessible,Playground,Showers,Toilets - Restricted Access",Soccer,49 Nakara Tce Nakara,Nakara,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,130.876332507429,-12.3700581540632,279,550     05317,34100,District,Richardson, 
130.884364114001727,-12.374234523001181,PK27,Casuarina Pool,Gsell Park,Swimming Pool,"Accessible,BBQ,Bicycle/Bike Racks,Drinking Fountains,Picnic Tables,Playground,Showers,Toilets - Daylight Hours","Swimming,Basketball",17 Gsell St Casuarina,Casuarina,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,130.884556902687,-12.3743072825583,280,550     06249,28000,Regional,Richardson, 
130.885232790280412,-12.371214506515447,PK28,Strele Park, ,Park,"Accessible,Playground",,8 Strele Cres Wanguri,Wanguri,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.885240693128,-12.3711808293553,281,550     06830,3560,Neighbourhood,Richardson, 
130.878914261961597,-12.372567492905169,PK29,Johnson Park, ,Park,"Accessible,Playground",,26 Witherden St Nakara,Nakara,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.878914550431,-12.3725672950637,282,550     05050,4290,Neighbourhood,Richardson, 
130.879871845300386,-12.374230904770133,PK30,Casuarina Library, ,Public Library,"Accessible,Bicycle/Bike Racks,Wifi",,17 Bradshaw Tce Casuarina,Casuarina,http://www.darwin.nt.gov.au/,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.879930795119,-12.3742684181861,283,550     04975,6410,District,Richardson, 
