SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC70029,..,51,51,63,9,72,23,0,23,14,0,14,10,0,10,3,0,3,115,56,173
SSC70030,..,52,52,73,3,80,35,0,40,43,0,43,21,0,21,14,0,14,191,55,253
SSC70031,..,10,10,10,0,10,4,0,4,13,0,13,7,0,7,41,0,41,74,10,84
SSC70032,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC70033,..,3,3,4,0,4,4,0,4,0,0,0,0,0,0,13,0,13,25,3,25
SSC70034,..,4,4,7,0,7,4,0,4,3,0,3,0,0,0,0,0,0,10,4,17
SSC70035,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70036,..,7,7,0,0,0,3,0,3,3,0,3,3,0,3,0,0,0,8,7,16
SSC70037,..,38,38,40,5,45,27,0,27,17,0,17,13,0,13,41,0,41,144,45,184
SSC70038,..,0,0,5,0,5,0,0,0,0,0,0,3,0,3,0,0,0,8,0,8
SSC70039,..,233,233,285,32,312,169,14,184,161,3,166,67,0,67,42,0,42,724,274,996
SSC70040,..,79,79,95,10,106,63,3,67,59,3,66,26,3,22,8,0,8,253,101,346
SSC70041,..,0,0,4,0,5,3,0,3,0,0,0,3,0,3,0,0,0,11,3,12
SSC70042,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70043,..,7,7,3,0,3,7,0,7,3,0,3,10,0,10,19,0,19,40,7,46
SSC70044,..,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
SSC70045,..,9,9,7,0,7,13,0,13,6,0,6,0,0,0,4,0,4,35,9,42
SSC70046,..,21,21,9,3,10,4,0,4,3,0,3,0,0,0,0,0,0,18,22,40
SSC70047,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70048,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5
SSC70049,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70050,..,9,9,0,0,0,3,0,3,3,0,3,5,0,5,16,0,16,24,9,33
SSC70051,..,8,8,0,3,4,6,3,9,6,0,6,0,0,3,0,0,0,16,15,31
SSC70052,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70053,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70054,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SSC70055,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70056,..,41,41,28,3,36,7,0,8,4,0,4,0,0,0,3,0,3,48,43,94
SSC70057,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70058,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC70059,..,379,379,323,69,389,160,12,174,124,6,131,46,0,49,24,0,24,686,460,1142
SSC70060,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC70061,..,23,23,48,0,46,15,0,15,21,0,21,15,0,15,5,0,5,94,22,124
SSC70062,..,60,60,73,20,93,24,3,31,11,0,11,5,0,10,0,0,0,129,82,208
SSC70063,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6
SSC70064,..,0,0,12,0,12,4,0,4,3,0,3,3,0,3,0,0,0,18,0,18
SSC70065,..,64,64,110,10,122,48,0,51,49,3,50,33,0,33,30,0,30,270,77,354
SSC70066,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70067,..,7,7,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
SSC70068,..,6,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,8,14
SSC70069,..,0,0,0,0,0,3,0,3,3,0,3,5,0,5,20,0,20,32,0,33
SSC70070,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70071,..,9,9,16,0,16,5,0,5,3,0,3,0,0,0,4,0,4,24,13,40
SSC70072,..,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
